"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"178",169128,"hom-nsea","Horse mackerel (Trachurus trachurus) in Divisions IIIa, IVb,c and VIId (North Sea stock)","hom"
"179",169129,"hom-soth","Horse mackerel (Trachurus trachurus) in Division IXa (Southern stock)","hom"
"180",169130,"hom-west","Horse mackerel (Trachurus trachurus) in Divisions IIa, IVa, Vb, VIa,, VIIa-c, e-k, VIIIa-e (Western stock)","hom"
"181",169130,"hom.27.2a4a5b6a7a-ce-k8","Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a–c,e–k (the Northeast Atlantic)","hom"
"182",169128,"hom.27.3a4bc7d","Horse mackerel (Trachurus trachurus) in divisions 3.a, 4.b–c, and 7.d (Skagerrak and Kattegat, southern and central North Sea, eastern English Channel)","hom"
"183",169129,"hom.27.9a","Horse mackerel (Trachurus trachurus) in Division 9.a (Atlantic Iberian waters)","hom"
"184",169131,"jaa-10","Blue jack mackerel (Trachurus picturatus) in Subdivision 10.a.2 (Azores grounds)","jaa"
"185",169131,"jaa.27.10a2","Blue jack mackerel (Trachurus picturatus) in Subdivision 10.a.2 (Azores grounds)","jaa"
"186",169785,"ldb.27.7b-k8abd","Four-spot megrim (Lepidorhombus boscii) in Divisions 7.b–k  8.a–b  and 8.d (west and southwest of Ireland  Bay of Biscay)","ldb"
"187",169140,"ldb.27.8c9a","Four-spot megrim (Lepidorhombus boscii) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters East)","ldb"
"188",169132,"lem-nsea","Lemon sole (Microstomus kitt) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","lem"
"189",169132,"lem.27.3a47d","Lemon sole (Microstomus kitt) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)","lem"
"190",169138,"lez.27.4a6a","Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)","lez"
"191",169139,"lez.27.6b","Megrim (Lepidorhombus spp.) in Division 6.b (Rockall)","lez"
"192",169133,"lin-arct","Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic)","lin"
"193",169134,"lin-faro","Ling in the Faroes Grounds (Fishing Area Vb)","lin"
"194",169135,"lin-icel","Ling in the Iceland Grounds (Fishing Area Va)","lin"
"195",169136,"lin-oth","Ling (Molva molva) in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)","lin"
"196",169133,"lin.27.1-2","Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic)","lin"
"197",169136,"lin.27.3a4a6-91214","Ling (Molva molva) in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)","lin"
"198",169135,"lin.27.5a","Ling (Molva molva) in Division 5.a (Iceland grounds)","lin"
"199",169134,"lin.27.5b","Ling (Molva molva) in Division 5.b (Faroes grounds)","lin"
"200",169137,"mac-nea","Mackerel in the Northeast Atlantic (combined Southern, Western and North Sea spawning components)","mac"
"201",169137,"mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)","mac"
"202",169138,"meg-4a6a","Megrim (Lepidorhombus spp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)","meg"
"203",169139,"meg-rock","Megrim (Lepidorhombus spp.) in Division 6.b (Rockall)","meg"
"204",169141,"meg.27.7b-k8abd","Megrim (Lepidorhombus whiffiagonis) in divisions 7.b–k, 8.a–b, and 8.d (west and southwest of Ireland, Bay of Biscay)","meg"
"205",169142,"meg.27.8c9a","Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","meg"
"206",169140,"mgb-8c9a","Megrim (Boscii) in Divisions VIIIc and IXa","mgb"
"207",169141,"mgw-78","Megrim (Lepidorhombus whiffiagonis) in Divisions VIIb-k and VIIIa,b,d","mgw"
"208",169142,"mgw-8c9a","Megrim (Whiffiagonis) in Divisions VIIIc and IXa","mgw"
"209",169055,"mon.27.78ab","White anglerfish (Lophius piscatorius) in divisions 7.b–k, 8.a–b, and 8.d (southern Celtic Seas, Bay of Biscay)","mon"
"210",169056,"mon.27.8c9a","White anglerfish (Lophius piscatorius) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)","mon"
"211",169143,"mur-347d","Striped red mullet (Mullus surmuletus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","mur"
"212",169144,"mur-west","Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and in divisions 7.a–c, 7.e–k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)","mur"
"213",169143,"mur.27.3a47d","Striped red mullet (Mullus surmuletus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","mur"
"214",169144,"mur.27.67a-ce-k89a","Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and in divisions 7.a–c, 7.e–k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)","mur"
"215",169145,"nep-10","Nephrops in Division IVa (Noup, FU 10)","nep"
"216",169146,"nep-11","Nephrops in Division VIa (North Minch, FU 11)","nep"
"217",169147,"nep-12","Nephrops in Division VIa (South Minch, FU 12)","nep"
"218",169148,"nep-13","Nephrops in Division VIa (Firth of Clyde, FU 13)","nep"
"219",169149,"nep-14","Nephrops in Division VIIa (Irish Sea East, FU 14)","nep"
"220",169150,"nep-15","Nephrops in Division VIIa (Irish Sea West, FU 15)","nep"
"221",169151,"nep-16","Norway lobster (Nephrops norvegicus) in divisions 7.b–c and 7.j–k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)","nep"
"222",169152,"nep-17","Nephrops in Division VIIb (Aran Grounds, FU 17)","nep"
"223",169153,"nep-19","Nephrops in Division VIIa,g,j (South East and West of IRL, FU 19)","nep"
"224",169154,"nep-2021","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.h, functional units 20 and 21 (Celtic Sea)","nep"
"225",169155,"nep-22","Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.f, Functional Unit 22 (Celtic Sea, Bristol Channel)","nep"
"226",169156,"nep-2324","Norway lobster (Nephrops norvegicus) in divisions 8.a and 8.b, functional units 23–24 (northern and central Bay of Biscay)","nep"
